threshold,global_macro_f1,global_balanced_accuracy,global_precision_cough,global_recall_cough,global_specificity_no_cough,global_roc_auc,original_cough_recall,new_fsd50k_cough_recall,fsd50k_balanced_accuracy,fsd50k_macro_f1,fsd50k_precision_cough,fsd50k_recall_cough,fsd50k_specificity_no_cough,fsd50k_roc_auc,fsd50k_false_positives,fsd50k_false_negatives,phase,candidate,C,penalty,class_weight,new_fsd50k_cough_weight,passes_macro_f1_floor,passes_specificity_floor,passes_original_recall_floor,constraints_passed,eligible,threshold_distance_from_0p5,cv_fit_seconds,mean_solver_iterations,max_solver_iterations,selected
0.41,0.9550007233427753,0.9614165673939414,0.9149613460663938,0.9562737642585551,0.9665593705293276,0.9876447103956222,0.9884014120020171,0.4297520661157025,0.7012503337256007,0.6504938271604939,0.2561576354679803,0.4297520661157025,0.972748601335499,0.8518153926924906,151,69,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,True,True,3,True,0.09000000000000002,0.64499169998453,7.0,7,False
0.43,0.9530652705833249,0.9594542311939381,0.9122328331059573,0.9534220532319392,0.9654864091559371,0.9874968212329401,0.9843671205244579,0.4462809917355372,0.7089733780190048,0.6524613738797986,0.2559241706161137,0.4462809917355372,0.9716657643024724,0.8546328570938504,157,67,B,lr__C0p1__l2__weight_none__fsdposw1p5,0.1,l2,none,1.5,True,True,True,3,True,0.07,0.6755987000069581,7.0,7,False
0.46,0.952211208360689,0.9581177891284127,0.9124087591240876,0.9505703422053232,0.9656652360515021,0.987236315322813,0.9803328290468987,0.4628099173553719,0.717328077248341,0.6581144878842996,0.2641509433962264,0.4628099173553719,0.9718462371413102,0.8562257909110299,156,65,B,lr__C0p1__l2__weight_none__fsdposw2,0.1,l2,none,2.0,True,True,True,3,True,0.03999999999999998,0.6047172000398859,7.0,7,False
0.52,0.9501741112924931,0.955117848964028,0.9123048668503214,0.9443916349809885,0.9658440629470673,0.986549395660286,0.9732728189611699,0.47107438016528924,0.7214603086532998,0.6606495834536569,0.2676056338028169,0.47107438016528924,0.9718462371413102,0.8582974997800021,156,64,B,lr__C0p1__l2__weight_none__fsdposw3,0.1,l2,none,3.0,True,True,True,3,True,0.020000000000000018,0.52736370000639,7.0,7,False
0.55,0.9498649537836981,0.9549390220684628,0.9114678899082569,0.9443916349809885,0.9654864091559371,0.985786491565898,0.9722642460917801,0.48760330578512395,0.7292735893661227,0.662868474686152,0.2681818181818182,0.48760330578512395,0.9709438729471215,0.859483251076498,161,62,B,lr__C0p1__l2__weight_none__fsdposw4,0.1,l2,none,4.0,True,True,True,3,True,0.050000000000000044,0.5395451000076719,7.0,7,True
0.61,0.9539279143767001,0.9592495661917895,0.9166284928996793,0.9510456273764258,0.9674535050071531,0.987426361396237,0.983358547655068,0.4214876033057851,0.6975692844177365,0.6505645291247656,0.25888324873096447,0.4214876033057851,0.9736509655296878,0.8514812942139811,146,70,B,lr__C0p1__l2__weight_balanced__fsdposw1,0.1,l2,balanced,1.0,True,True,True,3,True,0.10999999999999999,0.4705751000146847,7.2,8,False
0.66,0.9517641261799281,0.9564566708551597,0.9153633854645814,0.9458174904942965,0.9670958512160229,0.9870474591621927,0.9778113968734241,0.4214876033057851,0.6973888115788986,0.6494695110868776,0.2562814070351759,0.4214876033057851,0.9732900198520122,0.8536827645455889,148,70,B,lr__C0p1__l2__weight_balanced__fsdposw1p5,0.1,l2,balanced,1.5,True,True,True,3,True,0.16000000000000003,0.5445438000024296,7.2,8,False
0.67,0.9503572494518421,0.955503720687348,0.9119669876203577,0.9453422053231939,0.9656652360515021,0.9865841581128936,0.9762985375693394,0.4380165289256198,0.7048411466140461,0.6498870607854546,0.2523809523809524,0.4380165289256198,0.9716657643024724,0.855099700057125,157,68,B,lr__C0p1__l2__weight_balanced__fsdposw2,0.1,l2,balanced,2.0,True,True,True,3,True,0.17000000000000004,0.5558788999915123,7.2,8,False
0.73,0.9485477380398839,0.9519414617296844,0.9146171693735499,0.936787072243346,0.9670958512160229,0.9856204987298529,0.9667170953101362,0.4462809917355372,0.7094245601160992,0.6551803536076979,0.2621359223300971,0.4462809917355372,0.9725681284966613,0.8565494488120861,152,67,B,lr__C0p1__l2__weight_balanced__fsdposw3,0.1,l2,balanced,3.0,True,True,True,3,True,0.22999999999999998,0.5563647999952082,7.2,8,False
0.75,0.9460739706665864,0.9491179686352584,0.912093023255814,0.9320342205323194,0.9662017167381974,0.9847023110146487,0.961674230963187,0.4462809917355372,0.708883141599586,0.6519265148143321,0.25471698113207547,0.4462809917355372,0.9714852914636347,0.8573891695415543,158,67,B,lr__C0p1__l2__weight_balanced__fsdposw4,0.1,l2,balanced,4.0,True,True,True,3,True,0.25,0.5469029999512713,7.2,8,False
