fold_excluded,gold_multiplier,wet_cost,source_type,class_name,consensus_group,recording_count,weight_sum,weight_mean
0,1.0,1.0,augmented,dry,gold_3_of_4,8,5.2465483234714005,0.6558185404339251
0,1.0,1.0,augmented,dry,gold_4_of_4,8,5.2465483234714005,0.6558185404339251
0,1.0,1.0,augmented,wet,gold_3_of_4,8,16.835443037974684,2.1044303797468356
0,1.0,1.0,augmented,wet,gold_4_of_4,8,16.835443037974684,2.1044303797468356
0,1.0,1.0,original,dry,gold_3_of_4,25,16.395463510848124,0.655818540433925
0,1.0,1.0,original,dry,gold_4_of_4,20,13.116370808678502,0.6558185404339251
0,1.0,1.0,original,dry,weak_1_vote,949,622.3717948717949,0.6558185404339251
0,1.0,1.0,original,dry,weak_4_eval_2_1_1,4,2.6232741617357003,0.6558185404339251
0,1.0,1.0,original,wet,gold_3_of_4,2,4.208860759493671,2.1044303797468356
0,1.0,1.0,original,wet,gold_4_of_4,2,4.208860759493671,2.1044303797468356
0,1.0,1.0,original,wet,weak_1_vote,292,614.4936708860761,2.104430379746836
0,1.0,1.0,original,wet,weak_4_eval_2_1_1,4,8.417721518987342,2.1044303797468356
1,1.0,1.0,augmented,dry,gold_3_of_4,8,5.262536873156342,0.6578171091445427
1,1.0,1.0,augmented,dry,gold_4_of_4,12,7.893805309734513,0.6578171091445427
1,1.0,1.0,augmented,wet,gold_3_of_4,8,16.672897196261683,2.0841121495327104
1,1.0,1.0,augmented,wet,gold_4_of_4,12,25.009345794392527,2.0841121495327104
1,1.0,1.0,original,dry,gold_3_of_4,21,13.814159292035393,0.6578171091445425
1,1.0,1.0,original,dry,gold_4_of_4,24,15.787610619469024,0.6578171091445427
1,1.0,1.0,original,dry,weak_1_vote,948,623.6106194690265,0.6578171091445427
1,1.0,1.0,original,dry,weak_4_eval_2_1_1,4,2.631268436578171,0.6578171091445427
1,1.0,1.0,original,wet,gold_3_of_4,2,4.168224299065421,2.0841121495327104
1,1.0,1.0,original,wet,gold_4_of_4,3,6.252336448598131,2.0841121495327104
1,1.0,1.0,original,wet,weak_1_vote,293,610.6448598130842,2.0841121495327104
1,1.0,1.0,original,wet,weak_4_eval_2_1_1,3,6.252336448598131,2.0841121495327104
2,1.0,1.0,augmented,dry,gold_3_of_4,12,7.8919449901768175,0.6576620825147348
2,1.0,1.0,augmented,dry,gold_4_of_4,8,5.261296660117878,0.6576620825147348
2,1.0,1.0,augmented,wet,gold_3_of_4,12,25.028037383177573,2.0856697819314642
2,1.0,1.0,augmented,wet,gold_4_of_4,8,16.685358255451714,2.0856697819314642
2,1.0,1.0,original,dry,gold_3_of_4,22,14.468565815324165,0.6576620825147348
2,1.0,1.0,original,dry,gold_4_of_4,23,15.1262278978389,0.6576620825147348
2,1.0,1.0,original,dry,weak_1_vote,949,624.1213163064833,0.6576620825147348
2,1.0,1.0,original,dry,weak_4_eval_2_1_1,4,2.630648330058939,0.6576620825147348
2,1.0,1.0,original,wet,gold_3_of_4,3,6.257009345794392,2.0856697819314642
2,1.0,1.0,original,wet,gold_4_of_4,2,4.1713395638629285,2.0856697819314642
2,1.0,1.0,original,wet,weak_1_vote,294,613.1869158878505,2.0856697819314642
2,1.0,1.0,original,wet,weak_4_eval_2_1_1,2,4.1713395638629285,2.0856697819314642
3,1.0,1.0,augmented,dry,gold_3_of_4,8,5.262536873156342,0.6578171091445427
3,1.0,1.0,augmented,dry,gold_4_of_4,12,7.893805309734513,0.6578171091445427
3,1.0,1.0,augmented,wet,gold_3_of_4,8,16.672897196261683,2.0841121495327104
3,1.0,1.0,augmented,wet,gold_4_of_4,12,25.009345794392527,2.0841121495327104
3,1.0,1.0,original,dry,gold_3_of_4,22,14.471976401179935,0.6578171091445425
3,1.0,1.0,original,dry,gold_4_of_4,22,14.471976401179935,0.6578171091445425
3,1.0,1.0,original,dry,weak_1_vote,949,624.268436578171,0.6578171091445426
3,1.0,1.0,original,dry,weak_4_eval_2_1_1,4,2.631268436578171,0.6578171091445427
3,1.0,1.0,original,wet,gold_3_of_4,2,4.168224299065421,2.0841121495327104
3,1.0,1.0,original,wet,gold_4_of_4,3,6.252336448598131,2.0841121495327104
3,1.0,1.0,original,wet,weak_1_vote,293,610.6448598130842,2.0841121495327104
3,1.0,1.0,original,wet,weak_4_eval_2_1_1,3,6.252336448598131,2.0841121495327104
4,1.0,1.0,augmented,dry,gold_3_of_4,12,7.8919449901768175,0.6576620825147348
4,1.0,1.0,augmented,dry,gold_4_of_4,8,5.261296660117878,0.6576620825147348
4,1.0,1.0,augmented,wet,gold_3_of_4,12,25.028037383177573,2.0856697819314642
4,1.0,1.0,augmented,wet,gold_4_of_4,8,16.685358255451714,2.0856697819314642
4,1.0,1.0,original,dry,gold_3_of_4,22,14.468565815324165,0.6576620825147348
4,1.0,1.0,original,dry,gold_4_of_4,23,15.1262278978389,0.6576620825147348
4,1.0,1.0,original,dry,weak_1_vote,949,624.1213163064833,0.6576620825147348
4,1.0,1.0,original,dry,weak_4_eval_2_1_1,4,2.630648330058939,0.6576620825147348
4,1.0,1.0,original,wet,gold_3_of_4,3,6.257009345794392,2.0856697819314642
4,1.0,1.0,original,wet,gold_4_of_4,2,4.1713395638629285,2.0856697819314642
4,1.0,1.0,original,wet,weak_1_vote,292,609.0155763239876,2.0856697819314642
4,1.0,1.0,original,wet,weak_4_eval_2_1_1,4,8.342679127725857,2.0856697819314642
